Title,Body,Labels,Milestone,Status,Priority,Size,Area
"[EPIC] Foundation and app skeleton","Goal: Establish the desktop app foundation and repository standards.\n\nScope:\n- Choose desktop shell (Electron or Tauri) and lock architecture decision.\n- Create React + TypeScript app scaffold.\n- Establish CI with lint/typecheck/test jobs.\n- Add contributor docs and templates.\n\nDone when:\n- App boots locally.\n- CI is green on default branch.\n- README and CONTRIBUTING cover setup and contribution workflow.","epic,area:foundation,priority:P0,size:L","M1 Foundation","Backlog","P0","L","foundation"
"Set up desktop app scaffold (React + TypeScript + desktop shell)","Create the first runnable app scaffold.\n\nTasks:\n- Add workspace structure for UI and desktop runtime.\n- Define shared config for linting, formatting, and tsconfig.\n- Add scripts for dev/build/test.\n\nAcceptance criteria:\n- `npm run dev` starts desktop app shell.\n- Typecheck and lint pass.","feature,area:foundation,priority:P0,size:M","M1 Foundation","Backlog","P0","M","foundation"
"Implement secure Cloudflare token storage","Add credential storage using OS keychain and avoid plaintext secrets.\n\nTasks:\n- Persist API token via keychain integration.\n- Mask token in UI logs.\n- Add token validation call and error UX.\n\nAcceptance criteria:\n- Token is not stored in repo or plain config files.\n- Invalid token shows actionable error.","feature,area:foundation,priority:P0,size:M","M1 Foundation","Backlog","P0","M","foundation"
"Build D1 database list view","Create initial screen to list accessible D1 databases.\n\nTasks:\n- Fetch D1 database list via Cloudflare API wrapper.\n- Add search/filter.\n- Add empty/error states.\n\nAcceptance criteria:\n- User can see and select any accessible D1 database.","feature,area:foundation,priority:P0,size:M","M1 Foundation","Backlog","P0","M","foundation"
"Add repository standards and OSS docs","Set up OSS-facing docs and templates.\n\nTasks:\n- Add CODE_OF_CONDUCT, CONTRIBUTING, issue templates, PR template.\n- Add architecture doc and roadmap section.\n\nAcceptance criteria:\n- New contributors can clone, run, and open PRs from docs alone.","chore,area:docs,priority:P1,size:S","M1 Foundation","Backlog","P1","S","docs"
"[EPIC] D1 explorer and SQL tooling","Goal: Let users inspect schema/data and run SQL safely.\n\nScope:\n- Table/schema explorer.\n- Paginated row viewer.\n- SQL editor with result grid and history.\n- Guardrails for destructive actions.\n\nDone when:\n- User can query and update data from the app with clear feedback.","epic,area:explorer,priority:P0,size:L","M2 Explorer & SQL","Backlog","P0","L","explorer"
"Implement schema explorer (tables, columns, indexes)","Build a schema tree for selected database.\n\nTasks:\n- Fetch metadata and render table details.\n- Show column types, PK/FK, and indexes.\n\nAcceptance criteria:\n- Explorer updates when selected DB changes.\n- Errors handled without crashing.","feature,area:explorer,priority:P0,size:M","M2 Explorer & SQL","Backlog","P0","M","explorer"
"Build paginated table data viewer","Render table rows with pagination and column-aware formatting.\n\nTasks:\n- Add row fetch endpoint wrapper with limit/offset.\n- Add pagination controls and row count display.\n\nAcceptance criteria:\n- Large tables remain responsive.\n- Pagination state survives navigation within a DB.","feature,area:explorer,priority:P1,size:M","M2 Explorer & SQL","Backlog","P1","M","explorer"
"Create SQL editor with execution runner","Provide SQL input area and execution controls.\n\nTasks:\n- Execute queries/statements.\n- Show execution time, affected rows, and errors.\n- Add keyboard shortcut for run.\n\nAcceptance criteria:\n- Valid SQL returns result data.\n- Invalid SQL returns readable error details.","feature,area:sql,priority:P0,size:M","M2 Explorer & SQL","Backlog","P0","M","sql"
"Add query history and saved snippets","Track query history per database and allow snippet reuse.\n\nTasks:\n- Persist query history locally.\n- Add clear history and favorite snippet actions.\n\nAcceptance criteria:\n- History is scoped by DB and ordered newest-first.","feature,area:sql,priority:P1,size:S","M2 Explorer & SQL","Backlog","P1","S","sql"
